fighter,weight_class
Valentina Shevchenko,Women's Bantamweight
Bobby Nash,Welterweight
Henrique da Silva,Light Heavyweight
Marcos Rogerio de Lima,Light Heavyweight
Jason Gonzalez,Lightweight
Yair Rodriguez,Featherweight
Jocelyn Jones-Lybarger,Women's Strawweight
Dmitrii Smoliakov,Heavyweight
Dominick Cruz,Bantamweight
Johny Hendricks,Welterweight
Brandon Thatch,Welterweight
Paige VanZant,Women's Strawweight
Cole Miller,Featherweight
James Moontasri,Welterweight
Bojan Velickovic,Welterweight
Tim Kennedy,Middleweight
Nikita Krylov,Light Heavyweight
Valerie Letourneau,Women's Strawweight
Zach Makovsky,Flyweight
Justine Kish,Women's Strawweight
Joe Gigliotti,Middleweight
Tiago Trator,Featherweight
Keith Berish,Middleweight
Juliana Lima,Women's Strawweight
Dong Hyun Ma,Lightweight
Elvis Mutapcic,Middleweight
Jake Matthews,Lightweight
Kyle Noke,Welterweight
Yusuke Kasuya,Lightweight
Seohee Ham,Women's Strawweight
Richard Walsh,Welterweight
Ben Nguyen,Flyweight
Dan Hooker,Featherweight
Marlon Vera,Featherweight
Yao Zhikui,Flyweight
Ryan Bader,Light Heavyweight
Gegard Mousasi,Middleweight
Magnus Cedenblad,Middleweight
Kyoji Horiguchi,Flyweight
Anna Elmose,Women's Strawweight
Miesha Tate,Women's Bantamweight
Jim Miller,Catch Weight
Liz Carmouche,Women's Bantamweight
Rafael Dos Anjos,Lightweight
Diego Sanchez,Lightweight
Martin Bravo,Lightweight
Erik Perez,Bantamweight
Marco Beltran,Catch Weight
Erick Montano,Welterweight
Polo Reyes,Lightweight
Brad Pickett,Bantamweight
Lukasz Sajewski,Lightweight
Leonardo Santos,Lightweight
Hacran Dias,Featherweight
Shamil Abdurakhimov,Heavyweight
Jonathan Wilson,Light Heavyweight
Cody East,Heavyweight
Kelly Faszholz,Women's Bantamweight
Cris Cyborg,Catch Weight
Renan Barao,Featherweight
Roy Nelson,Heavyweight
Godofredo Pepey,Featherweight
Glaico Franca,Lightweight
Roan Carneiro,Welterweight
Chris Wade,Lightweight
Augusto Montano,Welterweight
Jessica Eye,Women's Bantamweight
Yancy Medeiros,Welterweight
Jessin Ayari,Welterweight
Taylor Lapilus,Bantamweight
Jarjis Danho,Heavyweight
Scott Askham,Middleweight
Anthony Pettis,Featherweight
Shane Campbell,Lightweight
Chad Laprise,Lightweight
Jeremy Kennedy,Lightweight
Nate Diaz,Welterweight
Anthony Johnson,Light Heavyweight
